x	y	z	Transcription of E2F targets under negative control by DREAM complex
239	278	24	1
249	289	24	1
235	270	25	1
238	270	25	1
238	272	25	1
239	272	25	1
230	274	25	1
232	274	25	1
233	274	25	1
238	275	25	1
237	276	25	1
239	276	25	1
240	276	25	1
234	277	25	1
237	277	25	1
236	278	25	1
231	279	25	1
234	279	25	2
232	280	25	1
234	280	25	1
245	280	25	1
237	281	25	2
241	281	25	1
232	282	25	1
233	283	25	1
234	283	25	1
238	283	25	1
243	283	25	1
235	284	25	1
215	285	25	1
238	285	25	1
232	286	25	1
233	286	25	1
243	286	25	1
250	286	25	1
252	286	25	2
246	287	25	1
249	287	25	1
242	288	25	1
250	288	25	1
251	288	25	1
235	289	25	1
250	289	25	1
225	290	25	1
250	290	25	1
234	291	25	1
241	291	25	1
235	292	25	1
249	292	25	1
247	293	25	1
239	294	25	1
242	294	25	1
243	294	25	1
243	295	25	1
239	296	25	2
227	300	25	1
183	258	26	1
232	263	26	1
230	264	26	1
231	264	26	1
230	267	26	1
234	267	26	2
235	267	26	2
235	268	26	1
237	269	26	1
234	270	26	1
235	270	26	2
236	270	26	1
223	272	26	1
234	272	26	1
237	273	26	1
233	275	26	1
237	275	26	1
250	275	26	1
231	276	26	1
207	277	26	1
234	277	26	2
249	277	26	1
239	278	26	1
232	280	26	1
238	280	26	1
248	280	26	1
250	280	26	1
231	281	26	1
232	281	26	1
236	281	26	1
246	281	26	1
250	281	26	1
235	282	26	1
249	282	26	1
251	282	26	1
253	282	26	1
254	282	26	2
238	283	26	1
243	283	26	2
246	283	26	1
249	283	26	1
236	284	26	1
211	285	26	1
235	285	26	1
240	285	26	1
247	285	26	1
252	285	26	1
234	286	26	1
246	286	26	1
251	286	26	1
252	286	26	1
254	286	26	1
234	287	26	1
232	288	26	1
235	288	26	1
241	288	26	1
227	289	26	1
233	289	26	2
238	289	26	1
228	290	26	1
233	290	26	1
237	290	26	1
242	290	26	1
243	290	26	1
229	291	26	1
235	291	26	1
242	291	26	1
244	291	26	1
246	291	26	1
249	291	26	1
249	292	26	1
236	293	26	1
240	293	26	1
244	293	26	1
221	295	26	1
235	296	26	1
239	296	26	1
236	297	26	1
245	297	26	1
241	300	26	1
184	256	27	1
183	258	27	1
232	258	27	1
183	259	27	1
185	259	27	1
188	259	27	1
181	260	27	2
183	260	27	1
180	261	27	1
222	261	27	1
231	261	27	1
236	261	27	1
180	262	27	2
232	262	27	1
239	262	27	1
230	263	27	1
232	263	27	1
175	264	27	1
219	264	27	1
212	265	27	1
225	265	27	1
230	265	27	1
231	265	27	2
235	265	27	1
240	265	27	1
217	266	27	1
221	266	27	1
228	266	27	1
232	266	27	1
181	268	27	1
213	268	27	1
214	268	27	1
217	268	27	1
229	268	27	2
230	268	27	1
231	268	27	2
232	268	27	1
233	268	27	2
234	268	27	1
238	268	27	1
178	269	27	1
213	269	27	1
181	270	27	1
184	270	27	1
230	270	27	1
231	270	27	1
234	270	27	1
236	270	27	1
237	270	27	1
238	270	27	1
242	270	27	2
182	271	27	1
207	271	27	1
209	271	27	1
217	271	27	1
226	271	27	1
237	271	27	1
242	271	27	1
248	271	27	2
251	271	27	1
181	272	27	1
203	272	27	1
206	272	27	1
227	272	27	1
228	272	27	1
241	272	27	1
183	273	27	1
210	273	27	1
214	273	27	1
224	273	27	1
235	273	27	1
239	273	27	1
247	273	27	1
178	274	27	1
203	274	27	1
207	274	27	1
211	274	27	1
212	274	27	1
250	274	27	1
224	275	27	1
236	275	27	1
237	275	27	2
238	275	27	1
244	275	27	1
245	275	27	1
207	276	27	1
209	276	27	1
210	276	27	1
211	276	27	1
219	276	27	1
227	276	27	1
232	276	27	1
244	276	27	1
205	277	27	1
212	277	27	1
215	277	27	1
224	277	27	1
240	277	27	1
243	277	27	1
252	277	27	1
230	278	27	1
