x	y	z	TP53 Regulates Transcription of Death Receptors and Ligands
241	279	24	1
245	284	24	1
244	286	24	1
239	287	24	1
245	287	24	1
246	287	24	2
244	288	24	1
249	288	24	1
248	289	24	1
249	289	24	1
232	265	25	1
231	268	25	1
236	268	25	1
235	270	25	1
228	272	25	1
230	272	25	2
235	273	25	1
232	274	25	1
238	274	25	1
235	275	25	1
232.5	276.5	25.5	2
234	276	25	1
248	276	25	1
232	277	25	1
235	277	25	1
236	277	25	1
237	277	25	1
234	278	25	2
238	278	25	1
236	279	25	1
238	279	25	1
239	279	25	1
249	279	25	1
239	280	25	1
241	280	25	1
237	281	25	1
240	281	25	1
243	281	25	1
214	282	25	1
233	282	25	2
234	282	25	1
235	282	25	1
239	282	25	1
240	282	25	1
245	282	25	1
247	282	25	1
230	283	25	1
233	283	25	2
235	283	25	1
236	283	25	1
237	283	25	1
233	284	25	1
234	284	25	1
245	284	25	1
247	284	25	1
234	285	25	1
243	285	25	1
244	285	25	1
248	285	25	1
250	285	25	1
235	286	25	1
250	286	25	1
252	286	25	2
242	287	25	1
245	287	25	1
236	288	25	1
237	288	25	1
251	288	25	1
226	289	25	2
234	289	25	1
235	289	25	1
236	290	25	1
240	290	25	1
244	290	25	1
246	290	25	1
249	290	25	1
237	291	25	1
240	291	25	2
239	292	25	1
242	292	25	1
243	292	25	1
250	292	25	1
239	293	25	2
243	293	25	2
247	293	25	1
241	294	25	1
243	294	25	1
246	294	25	1
238	296	25	1
239	296	25	1
247	296	25	1
239	297	25	1
243	297	25	1
240	298	25	1
182	259	26	1
230	264	26	1
235	267	26	1
233	268	26	1
236	268	26	1
228	269	26	1
237	269	26	1
227	270	26	1
229	271	26	1
235	271	26	1
217	272	26	1
231	274	26	1
232	275	26	1
236	275	26	2
237	275	26	2
207	276	26	1
231	276	26	1
232	276	26	1
234	276	26	2
250	276	26	1
213	277	26	1
231	277	26	1
236	278	26	1
237	278	26	1
239	278	26	2
243	278	26	1
249	278	26	1
252	278	26	1
231	279	26	1
232	279	26	1
248	279	26	1
249	279	26	1
230	280	26	1
232	280	26	1
234	280	26	1
240	280	26	1
242	280	26	1
230	281	26	1
246	281	26	1
248	281	26	1
229	282	26	1
237	282	26	1
238	282	26	1
245	282	26	1
227	283	26	1
253	283	26	1
214	284	26	2
232	284	26	1
235	284	26	1
244	284	26	1
248	284	26	1
245	285	26	1
247	285	26	1
252	285	26	1
225	286	26	1
233	286	26	1
234	286	26	1
224	287	26	1
234	287	26	1
238	287	26	1
248	287	26	1
235	288	26	1
240	288	26	1
250	288	26	1
222	289	26	1
223	289	26	1
237	289	26	1
250	289	26	1
237	290	26	1
226	291	26	1
229	291	26	1
232	291	26	1
244	291	26	1
246	291	26	1
227	292	26	1
238	292	26	1
247	292	26	1
252	292	26	1
225	293	26	2
236	293	26	2
247	293	26	1
221	295	26	1
239	295	26	2
241	295	26	3
244	295	26	1
245	295	26	1
254	295	26	1
244	296	26	1
240	297	26	1
244	297	26	1
236	298	26	1
246	298	26	1
236	299	26	1
227	301	26	1
183	257	27	1
215	258	27	1
180	259	27	1
185	259	27	1
237	260	27	1
181	261	27	1
184	261	27	1
186	261	27	1
222	261	27	1
229	261	27	1
230	261	27	1
237	261	27	1
227	262	27	2
239	262	27	1
178	263	27	1
179	263	27	1
182	263	27	1
183	263	27	1
184	263	27	1
185	263	27	1
211	263	27	1
220	263	27	2
236	263	27	1
176	264	27	1
186	264	27	1
209	264	27	1
219	264	27	1
222	264	27	1
224	264	27	2
228	264	27	1
229	264	27	1
237	264	27	1
248	264	27	1
184	265	27	1
189	265	27	1
221	265	27	1
225	265	27	3
231	265	27	1
232	265	27	1
234	265	27	1
236	265	27	2
237	265	27	1
240	265	27	2
180	266	27	1
216	266	27	1
219	266	27	1
221	266	27	1
237	266	27	1
179	267	27	1
214	267	27	1
215	267	27	1
233	267	27	1
235	267	27	1
240	267	27	1
241	267	27	1
249	267	27	1
250	267	27	1
207	268	27	1
214	268	27	1
219	268	27	1
224	268	27	1
225	268	27	1
231	268	27	1
232	268	27	1
234	268	27	1
235	268	27	2
236	268	27	2
177	269	27	1
218	269	27	1
225	269	27	1
228	269	27	1
233	269	27	4
235	269	27	2
192	270	27	1
207	270	27	1
217	270	27	2
218	270	27	1
221	270	27	1
226	270	27	1
228	270	27	1
232	270	27	1
239	270	27	1
244	270	27	1
209	271	27	1
211	271	27	1
223	271	27	1
226	271	27	1
230	271	27	1
231	271	27	1
233	271	27	1
234	271	27	1
239	271	27	1
247	271	27	3
251	271	27	1
207	272	27	1
215	272	27	1
222	272	27	1
236	272	27	3
247	272	27	1
250	272	27	1
205	273	27	1
214	273	27	1
223	273	27	1
231	273	27	1
235	273	27	2
239	273	27	1
246	273	27	1
177	274	27	1
179	274	27	1
204	274	27	1
214	274	27	1
226	274	27	1
237	274	27	2
238	274	27	1
241	274	27	1
247	274	27	2
252	274	27	1
235	275	27	1
236	275	27	1
239	275	27	2
252	275	27	1
177	276	27	1
204	276	27	1
205	276	27	1
213	276	27	2
214	276	27	1
220	276	27	1
232	276	27	1
234	276	27	1
252	276	27	1
220	277	27	1
227	277	27	1
237	277	27	1
240	277	27	2
243	277	27	1
204	278	27	1
213	278	27	1
214	278	27	1
219	278	27	1
221	278	27	1
224	278	27	2
225	278	27	1
229	278	27	1
231	278	27	1
248	278	27	1
230	279	27	1
235	279	27	1
237	279	27	1
240	279	27	2
247	279	27	1
250	279	27	1
251	279	27	1
252	279	27	1
257	279	27	1
206	280	27	1
232	280	27	1
233	280	27	2
241	280	27	1
242	280	27	1
244	280	27	1
250	280	27	1
251	280	27	1
256	280	27	1
233	281	27	1
236	281	27	1
249	281	27	1
252	281	27	1
256	281	27	1
216	282	27	1
233	282	27	1
235	282	27	1
244	282	27	1
248	282	27	1
253	282	27	1
254	282	27	1
235	283	27	1
236	283	27	1
238	283	27	1
243	283	27	1
244	283	27	1
245	283	27	1
256	283	27	1
208	284	27	1
213	284	27	1
215	284	27	1
240	284	27	1
256	284	27	1
206	285	27	1
208	285	27	2
220	285	27	1
223	285	27	1
233	285	27	1
239	285	27	1
242	285	27	2
246	285	27	1
249	285	27	1
254	285	27	1
208	286	27	1
212	286	27	1
214	286	27	2
220	286	27	1
235	286	27	2
236	286	27	1
240	286	27	1
244	286	27	1
249	286	27	1
255	286	27	1
256	286	27	1
258	286	27	1
207	287	27	1
210	287	27	2
219	287	27	1
222	287	27	1
228	287	27	1
250	287	27	1
252	287	27	1
253	287	27	1
204	288	27	1
214	288	27	2
224	288	27	1
229	288	27	1
231	288	27	1
232	288	27	1
236	288	27	1
238	288	27	1
242	288	27	1
244	288	27	1
247	288	27	1
251	288	27	1
255	288	27	1
203	289	27	1
209	289	27	2
219	289	27	1
224	289	27	2
230	289	27	1
232	289	27	1
235	289	27	1
238	289	27	1
243	289	27	1
248	289	27	1
249	289	27	1
207	290	27	1
221	290	27	1
222	290	27	2
226	290	27	2
232	290	27	1
235	290	27	1
241	290	27	2
249	290	27	1
251	290	27	1
252	290	27	1
221	291	27	1
234	291	27	1
239	291	27	1
242	291	27	1
246	291	27	1
252	291	27	1
220	292	27	1
222	292	27	1
226	292	27	1
244	292	27	1
246	292	27	1
248	292	27	1
254	292	27	1
210	293	27	1
219	293	27	1
223	293	27	1
227	293	27	1
253	293	27	1
219	294	27	1
224	294	27	1
231	294	27	1
235	294	27	1
236	294	27	1
238	294	27	1
255	294	27	1
257	294	27	2
211	295	27	1
222	295	27	1
226	295	27	1
252	295	27	1
211	296	27	1
220	296	27	1
236	296	27	1
238	296	27	1
241	296	27	1
217	297	27	1
246	297	27	1
237	298	27	1
245	298	27	1
248	298	27	2
230	299	27	1
247	299	27	1
248	299	27	1
228	300	27	1
235	300	27	1
241	300	27	2
248	300	27	1
236	301	27	1
239	301	27	1
245	301	27	2
234	302	27	2
241	303	27	1
234	266	28	1
235	266	28	1
234	267	28	1
231	268	28	1
237	269	28	1
238	269	28	1
240	271	28	1
206	272	28	1
233	272	28	1
234	272	28	1
236	272	28	1
249	275	28	1
233	276	28	1
234	276	28	1
237	277	28	1
236	278	28	1
241	280	28	1
248	281	28	1
252	281	28	1
235	282	28	1
254	283	28	1
246	284	28	1
239	285	28	1
242	285	28	1
248	285	28	1
232	286	28	1
249	286	28	1
246	287	28	1
242	288	28	1
244	288	28	1
249	289	28	1
240	290	28	1
245	290	28	1
240	291	28	1
241	291	28	1
245	291	28	2
222	292	28	1
239	292	28	1
245	292	28	3
247	292	28	1
250	292	28	2
240	296	28	1
239	297	28	1
234	256	29	1
230	257	29	2
190	258	29	1
233	258	29	1
182	259	29	1
187	261	29	1
229	262	29	1
231	263	29	2
234	263	29	1
245	263	29	1
226	264	29	1
231	264	29	1
178	266	29	1
195	266	29	1
228	266	29	1
237	266	29	1
245	266	29	1
248	266	29	3
194	267	29	1
237	267	29	1
249	267	29	1
201	268	29	1
231	268	29	1
234	268	29	1
196	269	29	1
204	269	29	1
235	269	29	2
175	270	29	2
227	270	29	1
231	270	29	1
232	270	29	1
237	270	29	1
173	271	29	1
214	271	29	2
234	271	29	1
242	271	29	1
211	272	29	1
234	272	29	1
235	272	29	1
236	272	29	1
238	272	29	1
249	272	29	1
207	273	29	1
249	273	29	1
250	273	29	2
214	274	29	1
232	274	29	1
247	274	29	1
184	275	29	1
232	275	29	2
235	275	29	1
241	275	29	1
245	275	29	1
206	276	29	1
237	276	29	1
240	276	29	1
249	276	29	1
252	276	29	1
236	277	29	1
237	277	29	3
238	277	29	1
238	278	29	1
239	278	29	1
234	279	29	2
235	279	29	1
254	279	29	1
237	280	29	1
247	280	29	1
249	280	29	1
250	280	29	1
256	280	29	1
224	281	29	1
232	281	29	1
238	281	29	1
241	281	29	1
246	281	29	1
247	281	29	2
250	281	29	1
212	282	29	1
246	282	29	1
254	282	29	1
234	283	29	1
236	283	29	2
237	283	29	1
241	283	29	1
249	283	29	1
250	283	29	2
222	284	29	1
235	284	29	1
237	284	29	1
238	284	29	1
240	284	29	1
244	284	29	1
246	284	29	1
226	285	29	1
233	285	29	1
240	285	29	1
250	285	29	1
253	285	29	1
233	286	29	1
225	287	29	1
236	287	29	1
235	288	29	1
240	288	29	1
245	288	29	1
249	288	29	1
224	289	29	1
225	289	29	1
228	289	29	1
237	289	29	1
250	289	29	1
254	289	29	1
227	290	29	1
239	290	29	1
240	290	29	1
243	290	29	1
226	291	29	1
249	291	29	1
222	292	29	1
237	292	29	1
248	292	29	1
249	292	29	1
257	292	29	1
223	293	29	1
237	293	29	1
247	293	29	1
238	294	29	1
241	294	29	1
242	294	29	1
244	294	29	1
251	294	29	1
223	295	29	1
247	295	29	1
219	296	29	1
249	296	29	2
238	297	29	1
239	297	29	1
242	297	29	1
247	297	29	1
215	298	29	1
242	298	29	1
245	298	29	1
249	298	29	1
221	299	29	1
252	299	29	1
247	300	29	1
223	301	29	1
227	301	29	1
241	301	29	1
247	301	29	1
250	302	29	1
240	303	29	1
232	253	30	1
191	255	30	1
234	255	30	1
232	256	30	1
236	256	30	1
227	257	30	1
240	257	30	1
176	258	30	1
203	258	30	1
229	258	30	1
231	258	30	1
233	258	30	1
237	258	30	1
210	259	30	1
214	259	30	1
219	259	30	1
226	259	30	1
232	259	30	1
239	259	30	1
196	260	30	1
197	260	30	1
212	260	30	1
225	260	30	1
227	260	30	1
237	260	30	1
186	261	30	1
208	261	30	1
224	261	30	1
236	261	30	1
238	261	30	1
239	261	30	1
178	262	30	2
193	262	30	1
216	262	30	1
218	262	30	1
220	262	30	1
231	262	30	2
251	262	30	1
182	263	30	1
215	263	30	1
240	263	30	1
242	263	30	1
249	263	30	1
222	264	30	1
225	264	30	1
227	264	30	1
233	264	30	2
240	264	30	1
250	264	30	1
192	265	30	1
197	265	30	1
200	265	30	1
205	265	30	1
210	265	30	1
212	265	30	1
213	265	30	1
216	265	30	1
232	265	30	1
235	265	30	1
242	265	30	1
188	266	30	1
215	266	30	2
226	266	30	1
229	266	30	1
232	266	30	1
233	266	30	1
247	266	30	3
191	267	30	1
196	267	30	1
202	267	30	1
208	267	30	1
209	267	30	1
219	267	30	1
238	267	30	1
239	267	30	1
244	267	30	3
248	267	30	1
249	267	30	1
189	268	30	3
191	268	30	1
196	268	30	1
205	268	30	1
206	268	30	2
216	268	30	1
223	268	30	1
228	268	30	1
239	268	30	1
247	268	30	1
180	269	30	1
194	269	30	3
198	269	30	2
232	269	30	2
233	269	30	1
236	269	30	1
183	270	30	1
184	270	30	1
186	270	30	2
197	270	30	1
200	270	30	1
215	270	30	1
232	270	30	1
185	271	30	2
194	271	30	1
199	271	30	1
207	271	30	2
211	271	30	1
212	271	30	1
225	271	30	2
229	271	30	2
233	271	30	2
244	271	30	1
181	272	30	1
185	272	30	2
203	272	30	1
223	272	30	1
224	272	30	1
227	272	30	1
233	272	30	1
238	272	30	1
210	273	30	2
232	273	30	1
233	273	30	1
234	273	30	1
236	273	30	1
240	273	30	1
246	273	30	1
177	274	30	2
211	274	30	1
233	274	30	1
236	274	30	1
247	274	30	2
212	275	30	1
213	275	30	1
237	275	30	2
