x	y	z	Transcription of E2F targets under negative control by DREAM complex
240	286	21	1
239	272	24	1
232	278	24	1
235	278	24	1
241	279	24	1
246	287	24	1
244	289	24	1
249	289	24	1
232	265	25	1
238	270	25	1
228	272	25	1
230	272	25	1
238	272	25	1
227	273	25	1
236	273	25	1
231	274	25	1
233	274	25	2
235	275	25	1
236	275	25	1
232.5	276.5	25.5	2
235	276	25	1
236	276	25	1
239	276	25	1
240	276	25	1
248	276	25	1
236	278	25	1
238	278	25	3
239	278	25	2
232	279	25	1
235	279	25	1
237	279	25	1
239	279	25	1
247	279	25	1
233	280	25	1
236	280	25	2
235	281	25	1
241	281	25	1
243	281	25	1
232	282	25	1
237	282	25	1
238	282	25	1
239	282	25	2
240	282	25	2
247	282	25	1
232	283	25	1
233	283	25	1
241	283	25	1
243	283	25	1
245	283	25	1
247	283	25	2
235	284	25	1
247	284	25	1
215	285	25	1
236	285	25	1
241	285	25	1
246	285	25	1
250	285	25	1
252	285	25	1
235	286	25	1
254	286	25	1
223	287	25	1
246	287	25	2
251	287	25	2
236	288	25	1
242	288	25	1
234	289	25	2
235	289	25	1
238	289	25	3
244	289	25	1
248.5	289.5	25.5	1
252	289	25	1
225	290	25	1
235	290	25	1
237	290	25	2
240	290	25	1
234	291	25	1
238	291	25	1
240	291	25	2
241	291	25	1
237	292	25	1
242	292	25	1
243	292	25	1
249	292	25	2
250	292	25	1
243	293	25	1
239	294	25	1
240	294	25	1
245	295	25	1
243	297	25	1
243	299	25	1
227	300	25	1
183	258	26	1
182	260	26	1
232	265	26	1
234	265	26	1
237	266	26	1
230	267	26	1
235	267	26	2
236	268	26	2
241	268	26	1
228	269	26	1
237	269	26	1
227	270	26	2
228	270	26	1
233	270	26	1
234	270	26	1
236	270	26	1
237	270	26	1
229	271	26	1
240	271	26	1
236	272	26	1
249	273	26	2
231	274	26	1
249	275	26	1
250	275	26	1
215	276	26	1
237	276	26	2
244	276	26	1
250	276	26	3
207	277	26	1
209	277	26	1
236	277	26	1
239	277	26	1
249	277	26	1
235	278	26	1
240	278	26	1
249	278	26	1
252	278	26	1
231	279	26	1
233	279	26	1
236	279	26	1
239	279	26	1
250	279	26	1
230	280	26	2
232	280	26	1
236	280	26	2
238	280	26	1
240	280	26	2
241	280	26	2
242	280	26	1
244	281	26	1
249	281	26	1
250	281	26	1
231	282	26	2
234	282	26	1
245	282	26	1
247	282	26	2
254	282	26	2
231	283	26	1
234	283	26	1
238	283	26	1
239	283	26	1
245	283	26	1
252	283	26	1
212	284	26	1
234	284	26	1
235	284	26	1
238	284	26	1
242	284	26	1
246	284	26	1
250	284	26	1
234	285	26	1
245	285	26	1
247	285	26	1
250	285	26	1
253	285	26	1
254	285	26	1
216	286	26	1
225	286	26	2
233	286	26	1
234	286	26	1
246	286	26	1
249	286	26	1
250	286	26	1
251	286	26	1
252	286	26	1
253	286	26	2
234	287	26	1
239	287	26	1
243	287	26	1
247	287	26	1
249	287	26	1
253	287	26	1
240	288	26	2
250	288	26	1
252	288	26	1
231	289	26	2
250	289	26	1
227	290	26	1
228	290	26	1
233	290	26	1
237	290	26	1
250	290	26	2
222	291	26	1
242	291	26	2
245	291	26	2
227	292	26	1
237	292	26	1
239	292	26	1
244	292	26	2
245	292	26	1
249	292	26	1
254	292	26	1
237	293	26	1
245	293	26	2
237	294	26	2
239	294	26	2
240	294	26	1
244	294	26	1
245	295	26	1
248	295	26	1
254	295	26	1
235	296	26	1
237	297	26	1
239	297	26	1
246	298	26	1
240	299	26	2
236	300	26	1
182	255	27	1
184	255	27	3
184	258	27	1
188	259	27	1
229	259	27	1
231	259	27	1
232	259	27	1
185	260	27	1
233	260	27	2
234	260	27	1
240	260	27	1
182	261	27	1
232	261	27	1
235	261	27	3
177	262	27	1
227	262	27	1
229	262	27	1
239	262	27	1
179	263	27	1
181	263	27	1
185	263	27	1
210	263	27	1
230	263	27	1
232	263	27	2
233	263	27	1
238	263	27	1
175	264	27	2
209	264	27	1
224	264	27	1
225	264	27	1
234	264	27	1
248	264	27	1
184	265	27	1
212	265	27	1
215	265	27	1
221	265	27	1
225	265	27	1
231	265	27	1
233	265	27	1
235	265	27	1
179	266	27	1
217	266	27	1
219	266	27	1
228	266	27	1
230	266	27	1
235	266	27	1
239	266	27	1
182	267	27	2
217	267	27	1
226	267	27	1
228	267	27	2
230	267	27	1
232	267	27	1
234	267	27	1
250	267	27	2
197	268	27	2
215	268	27	1
217	268	27	1
229	268	27	1
237	268	27	1
240	268	27	1
241	268	27	2
243	268	27	1
248	268	27	2
180	269	27	1
201	269	27	1
225	269	27	1
231	269	27	2
233	269	27	2
241	269	27	1
179	270	27	1
181	270	27	1
192	270	27	1
207	270	27	1
215	270	27	1
216	270	27	1
221	270	27	1
226	270	27	1
237	270	27	1
239	270	27	2
244	270	27	1
177	271	27	1
